Facility ID,Facility Name,Address,City/Town,State,ZIP Code,County/Parish,Telephone Number,Hospital Type,Hospital Ownership,Emergency Services,Meets criteria for promoting interoperability of EHRs,Meets criteria for birthing friendly designation,Hospital overall rating,Hospital overall rating footnote,MORT Group Measure Count,Count of Facility MORT Measures,Count of MORT Measures Better,Count of MORT Measures No Different,Count of MORT Measures Worse,MORT Group Footnote,Safety Group Measure Count,Count of Facility Safety Measures,Count of Safety Measures Better,Count of Safety Measures No Different,Count of Safety Measures Worse,Safety Group Footnote,READM Group Measure Count,Count of Facility READM Measures,Count of READM Measures Better,Count of READM Measures No Different,Count of READM Measures Worse,READM Group Footnote,Pt Exp Group Measure Count,Count of Facility Pt Exp Measures,Pt Exp Group Footnote,TE Group Measure Count,Count of Facility TE Measures,TE Group Footnote,FIPS,CBSA 2020,RUCA,FORHP/ RURAL 2022,PSF PAYMENT,POS CERTIFIED BEDS,POS TOTAL BEDS,CR ACUTE BEDS,PSF BEDS,longitude,latitude
361326,ADAMS COUNTY REGIONAL MEDICAL CENTER,230 MEDICAL CENTER DRIVE,SEAMAN,OH,45679,ADAMS,(937) 386-3400,Critical Access Hospitals,Government - Local,Yes,Y,,2,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,Not Available,5.0,12,3,,39001,Neither,3.0,Rural,CAH,25,25,25.0,,-83.584633,38.934405
151330,ADAMS MEMORIAL HOSPITAL,1100 MERCER AVE,DECATUR,IN,46733,ADAMS,(260) 724-2145,Critical Access Hospitals,Government - Local,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,1,0,1,0,,11,5,1,4,0,,8,8,,12,9,,18001,Micro,4.0,Rural,CAH,35,35,25.0,,-84.914481,40.817126
220062,ADCARE HOSPITAL OF WORCESTER INC,107 LINCOLN STREET,WORCESTER,MA,1605,WORCESTER,(508) 799-9000,Acute Care Hospitals,Proprietary,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,1,0,0,,11,1,0,0,1,,8,Not Available,5.0,12,2,,25027,Metro,1.0,Metro,PPS,114,114,114.0,114.0,-103.01901,33.622481
361331,ADENA FAYETTE MEDICAL CENTER,1430 COLUMBUS AVENUE,WASHINGTON CH,OH,43160,FAYETTE,(740) 335-1210,Critical Access Hospitals,Government - Local,Yes,Y,,Not Available,16,7,1,0,1,0,,8,1,0,1,0,,11,7,0,7,0,,8,Not Available,5.0,12,8,,39047,Micro,4.0,Rural,CAH,25,25,25.0,,-83.427671,39.54856
361334,ADENA PIKE MEDICAL CENTER,100 DAWN LANE,WAVERLY,OH,45690,PIKE,(740) 947-2186,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,3,0,3,0,,8,Not Available,5.0,12,7,,39131,Neither,7.0,Rural,CAH,25,25,25.0,,-83.004505,39.116142
360159,ADENA REGIONAL MEDICAL CENTER,272 HOSPITAL ROAD,CHILLICOTHE,OH,45601,ROSS,(740) 779-7500,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,11,0,,8,8,,12,11,,39141,Micro,4.0,Rural,RRC,261,261,209.0,153.0,-82.970688,39.395523
330079,ADIRONDACK MEDICAL CENTER - SARANAC LAKE,"2233 STATE ROUTE 86, PO BOX 471",SARANAC LAKE,NY,12983,FRANKLIN,(518) 891-4141,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,2,,7,2,0,2,0,,8,4,0,4,0,,11,9,0,9,0,,8,8,,12,9,,36033,Micro,7.0,Rural,SCH/RRC,95,95,83.0,80.0,-74.147022,44.307529
390323,ADVANCED SURGICAL HOSPITAL,100 TRICH DRIVE,WASHINGTON,PA,15301,WASHINGTON,(724) 884-0710,Acute Care Hospitals,Physician,No,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,2,0,2,0,,11,3,0,2,1,,8,8,,12,2,,42125,Metro,1.0,Metro,PPS,14,14,14.0,13.0,-80.27946,40.156735
60125,ADVENTHEALTH CASTLE ROCK,2350 MEADOWS BLVD,CASTLE ROCK,CO,80109,DOUGLAS,(720) 455-5000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,4,0,4,0,,8,5,1,4,0,,11,7,0,7,0,,8,8,,12,9,,8035,Metro,1.0,Metro,PPS,50,50,89.0,50.0,-104.884338,39.405324
450152,ADVENTHEALTH CENTRAL TEXAS,2201 S CLEAR CREEK ROAD,KILLEEN,TX,76542,BELL,(254) 526-7523,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,6,0,5,1,,8,7,1,6,0,,11,7,0,6,1,,8,8,,12,11,,48027,Metro,1.0,Metro,PPS,232,232,208.0,204.0,-97.802804,31.113243
100211,ADVENTHEALTH DADE CITY,13100 FT KING RD,DADE CITY,FL,33525,PASCO,(352) 568-1100,Acute Care Hospitals,Proprietary,No,Y,,4,,7,5,0,5,0,,8,4,1,3,0,,11,6,0,5,1,,8,8,,12,7,,12101,Metro,1.0,Metro,PPS,120,120,75.0,61.0,-82.200162,28.348634
100068,ADVENTHEALTH DAYTONA BEACH,301 MEMORIAL MEDICAL PARKWAY,DAYTONA BEACH,FL,32117,VOLUSIA,(386) 676-6000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,7,1,6,0,,8,7,3,4,0,,11,9,0,7,2,,8,8,,12,10,,12127,Metro,1.0,Metro,RRC,362,362,330.0,311.0,-81.107799,29.243614
100045,ADVENTHEALTH DELAND,701 W PLYMOUTH AVE,DELAND,FL,32720,VOLUSIA,(386) 943-4772,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,4,,7,6,0,6,0,,8,7,2,5,0,,11,7,0,6,1,,8,8,,12,7,,12127,Metro,1.0,Metro,RRC,164,164,142.0,143.0,-81.318251,29.043708
100072,ADVENTHEALTH FISH MEMORIAL,1055 SAXON BLVD,ORANGE CITY,FL,32763,VOLUSIA,(386) 917-5000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,7,1,,8,8,,12,9,,12127,Metro,1.0,Metro,RRC,175,175,257.0,247.0,-81.284525,28.913796
110023,ADVENTHEALTH GORDON,1035 RED BUD ROAD,CALHOUN,GA,30701,GORDON,(706) 629-2895,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,4,,7,6,0,6,0,,8,5,0,5,0,,11,8,0,8,0,,8,8,,12,10,,13129,Micro,4.0,Rural,RRC,69,69,69.0,65.0,-84.926826,34.510455
100137,ADVENTHEALTH HEART OF FLORIDA,40100 HWY 27,DAVENPORT,FL,33837,POLK,(863) 422-4971,Acute Care Hospitals,Proprietary,Yes,Y,Y,1,,7,6,0,6,0,,8,7,0,5,2,,11,8,0,7,1,,8,8,,12,8,,12105,Metro,1.0,Metro,RRC,268,268,202.0,184.0,-81.641344,28.180781
340023,ADVENTHEALTH HENDERSONVILLE,100 HOSPITAL DRIVE,HENDERSONVILLE,NC,28792,HENDERSON,(828) 684-8501,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,5,,7,4,0,4,0,,8,5,0,5,0,,11,9,1,8,0,,8,8,,12,8,,37089,Metro,1.0,Metro,RRC,48,103,73.0,69.0,-82.487958,35.390129
100099,ADVENTHEALTH LAKE WALES,410 S 11TH ST,LAKE WALES,FL,33853,POLK,(863) 676-1433,Acute Care Hospitals,Proprietary,Yes,Y,,1,,7,4,0,4,0,,8,3,0,3,0,,11,6,0,5,1,,8,8,,12,7,,12105,Metro,1.0,Metro,PPS,118,118,142.0,87.0,-81.565445,27.895999
110050,ADVENTHEALTH MURRAY,"707 OLD DALTON ELLIJAY ROAD, PO BOX 1406",CHATSWORTH,GA,30705,MURRAY,(706) 517-2031,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,4,2,2,0,,8,Not Available,5.0,12,7,,13213,Metro,1.0,Metro,PPS,42,42,29.0,28.0,-84.731404,34.744142
100014,ADVENTHEALTH NEW SMYRNA BEACH,401 PALMETTO ST,NEW SMYRNA BEACH,FL,32170,VOLUSIA,(386) 424-5100,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,,3,,7,6,0,6,0,,8,6,0,5,1,,11,10,0,10,0,,8,8,,12,7,,12127,Metro,1.0,Metro,RRC,109,109,109.0,100.0,-88.043764,30.682185
100055,ADVENTHEALTH NORTH PINELLAS,1395 S PINELLAS AVE,TARPON SPRINGS,FL,34689,PINELLAS,(727) 942-5000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,3,,7,6,0,6,0,,8,6,1,5,0,,11,8,0,7,1,,8,8,,12,7,,12103,Metro,1.0,Metro,PPS,168,168,136.0,129.0,-82.757308,28.132658
100062,ADVENTHEALTH OCALA,1500 SW 1ST AVE,OCALA,FL,34474,MARION,(352) 351-7200,Acute Care Hospitals,Government - Hospital District or Authority,Yes,Y,Y,3,,7,7,0,7,0,,8,7,6,1,0,,11,9,0,8,1,,8,8,,12,8,,12083,Metro,1.0,Metro,RRC,385,385,385.0,388.0,-122.676198,45.511945
100007,ADVENTHEALTH ORLANDO,601 E ROLLINS ST,ORLANDO,FL,32803,ORANGE,(407) 303-1976,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,3,4,0,,8,8,6,2,0,,11,11,0,4,7,,8,8,,12,10,,12095,Metro,1.0,Metro,RRC,3251,3251,2738.0,2590.0,-81.36934,28.575602
170014,ADVENTHEALTH OTTAWA,1301 S MAIN STREET,OTTAWA,KS,66067,FRANKLIN,(785) 229-8200,Acute Care Hospitals,Government - Local,No,Y,Y,2,,7,3,0,3,0,,8,2,0,2,0,,11,9,1,8,0,,8,8,,12,8,,20059,Micro,4.0,Rural,SCH,49,49,36.0,42.0,-95.267133,38.596554
451323,ADVENTHEALTH ROLLINS BROOK,608 NORTH KEY AVENUE,LAMPASAS,TX,76550,LAMPASAS,(512) 556-3682,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,1,0,1,0,,8,Not Available,Not Available,Not Available,Not Available,5.0,11,3,0,3,0,,8,Not Available,5.0,12,6,,48281,Metro,7.0,Rural,CAH,25,25,25.0,,-98.18626,31.072619
100109,ADVENTHEALTH SEBRING,4200 SUN N LAKE BLVD,SEBRING,FL,33872,HIGHLANDS,(863) 314-4466,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,6,1,5,0,,8,6,2,4,0,,11,9,0,8,1,,8,8,,12,9,,12055,Metro,1.0,Metro,RRC,204,204,204.0,189.0,-81.508705,27.540029
170104,ADVENTHEALTH SHAWNEE MISSION,9100 W 74TH STREET,SHAWNEE MISSION,KS,66204,JOHNSON,(913) 676-2152,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,4,,7,7,0,7,0,,8,8,2,6,0,,11,11,0,10,1,,8,8,,12,11,,20091,Metro,1.0,Metro,PPS,363,363,317.0,336.0,-94.692191,38.995394
100173,ADVENTHEALTH TAMPA,3100 E FLETCHER AVE,TAMPA,FL,33613,HILLSBOROUGH,(813) 615-7200,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,7,0,7,0,,8,8,2,6,0,,11,9,1,6,2,,8,8,,12,9,,12057,Metro,1.0,Metro,PPS,626,626,596.0,496.0,-82.422462,28.071467
100057,ADVENTHEALTH WATERMAN,1000 WATERMAN WAY,TAVARES,FL,32778,LAKE,(352) 253-3300,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,4,,7,7,0,7,0,,8,7,1,6,0,,11,9,0,9,0,,8,8,,12,10,,12069,Metro,1.0,Metro,PPS,269,269,288.0,251.0,-81.712021,28.824223
101300,ADVENTHEALTH WAUCHULA,735 S 5TH AVE,WAUCHULA,FL,33873,HARDEE,(863) 773-3101,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,Not Available,Not Available,Not Available,Not Available,5.0,8,8,,12,5,,12049,Micro,4.0,Rural,CAH,25,25,25.0,,-118.868179,46.653531
100319,ADVENTHEALTH WESLEY CHAPEL,2600 BRUCE B DOWNS BLVD,WESLEY CHAPEL,FL,33544,PASCO,(813) 929-5490,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,4,,7,6,0,6,0,,8,7,1,6,0,,11,8,0,8,0,,8,8,,12,9,,12101,Metro,1.0,Metro,PPS,169,169,169.0,148.0,-82.351023,28.195619
50133,ADVENTIST HEALTH AND RIDEOUT,726 4TH ST,MARYSVILLE,CA,95901,YUBA,(530) 749-4300,Acute Care Hospitals,Government - Federal,Yes,Y,Y,2,,7,7,0,7,0,,8,7,2,5,0,,11,11,0,9,2,,8,8,,12,10,,6115,Metro,1.0,Metro,SCH,173,173,209.0,212.0,-121.594527,39.138508
50455,ADVENTIST HEALTH BAKERSFIELD,2615 CHESTER AVENUE,BAKERSFIELD,CA,93301,KERN,(661) 395-3000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,5,1,,8,7,2,5,0,,11,10,0,10,0,,8,8,,12,11,,6029,Metro,1.0,Metro,RRC,247,255,254.0,236.0,-119.019166,35.383063
120006,ADVENTIST HEALTH CASTLE,640 ULUKAHIKI ST,KAILUA,HI,96734,HONOLULU,(808) 263-5015,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,6,0,6,0,,8,6,2,4,0,,11,10,1,9,0,,8,8,,12,9,,15003,Metro,2.0,Metro,RRC,160,160,160.0,156.0,-157.757698,21.38054
51317,ADVENTIST HEALTH CLEARLAKE,15630 18TH AVE - HWY 53,CLEARLAKE,CA,95422,LAKE,(707) 994-6486,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,3,,7,4,0,4,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,6,,6033,Micro,4.0,Rural,CAH,32,32,25.0,,-122.623922,38.973012
50608,ADVENTIST HEALTH DELANO,1401 GARCES HIGHWAY,DELANO,CA,93215,KERN,(661) 725-4800,Acute Care Hospitals,Proprietary,Yes,,Y,Not Available,16,7,2,0,2,0,,8,2,1,0,1,,11,4,0,4,0,,8,8,,12,8,,6029,Metro,1.0,Metro,PPS,156,156,105.0,104.0,-119.239267,35.762148
50121,ADVENTIST HEALTH HANFORD,115 MALL DRIVE,HANFORD,CA,93230,KINGS,(559) 537-2029,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,1,,7,6,0,4,2,,8,7,1,6,0,,11,7,0,6,1,,8,8,,12,11,,6031,Metro,1.0,Metro,PPS,230,230,235.0,230.0,-119.6668,36.324414
51310,ADVENTIST HEALTH HOWARD MEMORIAL,1 MARCELA DR,WILLITS,CA,95490,MENDOCINO,(707) 456-3031,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,5,,7,3,0,3,0,,8,3,0,3,0,,11,7,1,5,1,,8,8,,12,6,,6045,Micro,7.0,Rural,CAH,25,25,25.0,,-123.339467,39.390143
50336,ADVENTIST HEALTH LODI MEMORIAL,975 S FAIRMONT AVENUE,LODI,CA,95240,SAN JOAQUIN,(209) 334-3411,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,Y,3,,7,5,0,5,0,,8,6,1,4,1,,11,6,1,5,0,,8,8,,12,10,,6077,Metro,1.0,Metro,PPS,190,190,186.0,180.0,-121.286682,38.121089
380060,ADVENTIST HEALTH PORTLAND,10123 SE MARKET STREET,PORTLAND,OR,97216,MULTNOMAH,(503) 257-2500,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,2,,7,7,0,7,0,,8,7,1,6,0,,11,8,1,6,1,,8,8,,12,11,,41051,Metro,1.0,Metro,PPS,302,302,168.0,158.0,-122.556304,45.51287
50192,ADVENTIST HEALTH REEDLEY,372 W CYPRESS AVE,REEDLEY,CA,93654,FRESNO,(559) 638-8155,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,Y,Not Available,16,7,Not Available,Not Available,Not Available,Not Available,5.0,8,1,0,1,0,,11,1,0,1,0,,8,8,,12,7,,6019,Metro,4.0,Rural,PPS,49,49,49.0,39.0,-120.464267,34.637356
50236,ADVENTIST HEALTH SIMI VALLEY,2975 N SYCAMORE DR,SIMI VALLEY,CA,93065,VENTURA,(805) 955-6000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,6,0,,8,7,0,7,0,,11,8,0,5,3,,8,8,,12,9,,6111,Metro,1.0,Metro,PPS,149,149,144.0,135.0,-76.662751,37.102339
50335,ADVENTIST HEALTH SONORA,1000 GREENLEY ROAD,SONORA,CA,95370,TUOLUMNE,(209) 536-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,2,,7,6,0,6,0,,8,5,0,4,1,,11,10,1,8,1,,8,8,,12,11,,6109,Micro,4.0,Rural,SCH/RRC,75,143,84.0,81.0,-85.838653,43.789282
50013,ADVENTIST HEALTH ST HELENA,10 WOODLAND ROAD,SAINT HELENA,CA,94574,NAPA,(707) 963-3611,Acute Care Hospitals,Voluntary non-profit - Private,No,Y,,5,,7,7,0,7,0,,8,5,0,5,0,,11,11,1,10,0,,8,8,,12,8,,6055,Metro,10.0,Rural,PPS,168,181,141.0,142.0,-122.474613,38.542031
51301,ADVENTIST HEALTH TEHACHAPI VALLEY,1100 MAGELLAN,TEHACHAPI,CA,93561,KERN,(661) 868-6800,Critical Access Hospitals,Voluntary non-profit - Private,Yes,Y,,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,6,,6029,Metro,3.0,Rural,CAH,24,24,25.0,,-118.450917,35.147728
381317,ADVENTIST HEALTH TILLAMOOK,1000 THIRD STREET,TILLAMOOK,OR,97141,TILLAMOOK,(503) 815-2260,Critical Access Hospitals,Voluntary non-profit - Church,Yes,Y,,3,,7,3,0,3,0,,8,1,0,1,0,,11,6,0,6,0,,8,8,,12,4,,41057,Neither,7.0,Rural,CAH,25,49,25.0,,-88.423957,44.20564
50784,ADVENTIST HEALTH TULARE,869 NORTH CHERRY STREET,TULARE,CA,93274,TULARE,(559) 688-0821,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,Not Available,16,7,2,0,2,0,,8,2,0,2,0,,11,4,0,4,0,,8,8,,12,7,,6107,Metro,1.0,Metro,PPS,59,112,73.0,72.0,-119.338662,36.221125
50301,ADVENTIST HEALTH UKIAH VALLEY,275 HOSPITAL DRIVE,UKIAH,CA,95482,MENDOCINO,(707) 462-3111,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,5,,7,4,0,4,0,,8,5,1,4,0,,11,9,1,7,1,,8,8,,12,11,,6045,Micro,4.0,Rural,SCH/RRC,111,127,50.0,47.0,-123.202814,39.153344
50103,ADVENTIST HEALTH WHITE MEMORIAL,1720 CESAR E CHAVEZ AVENUE,LOS ANGELES,CA,90033,LOS ANGELES,(323) 268-5000,Acute Care Hospitals,Voluntary non-profit - Church,No,Y,Y,3,,7,4,0,4,0,,8,6,1,5,0,,11,6,0,5,1,,8,8,,12,8,,6037,Metro,1.0,Metro,RRC,336,377,310.0,304.0,-118.217023,34.049405
50350,ADVENTIST HEALTH WHITE MEMORIAL MONTEBELLO,309 W BEVERLY BLVD,MONTEBELLO,CA,90640,LOS ANGELES,(323) 726-1222,Acute Care Hospitals,Voluntary non-profit - Private,Yes,,,2,,7,4,0,4,0,,8,5,1,3,1,,11,4,0,2,2,,8,8,,12,9,,6037,Metro,1.0,Metro,PPS,214,224,202.0,202.0,-118.100753,34.014995
210060,ADVENTIST HEALTHCARE FORT WASHINGTON MEDICAL CTR,11711 LIVINGSTON ROAD,FORT WASHINGTON,MD,20744,PRINCE GEORGES,(301) 292-7000,Acute Care Hospitals,Voluntary non-profit - Other,Yes,Y,,2,,7,4,0,4,0,,8,3,0,3,0,,11,7,0,5,2,,8,8,,12,7,,24033,Metro,1.0,Metro,PPS,37,37,30.0,24.0,-76.992499,38.72865
210057,ADVENTIST HEALTHCARE SHADY GROVE MEDICAL CENTER,9901 MEDICAL CENTER DRIVE,ROCKVILLE,MD,20850,MONTGOMERY,(240) 826-6527,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,2,,7,6,0,6,0,,8,7,2,5,0,,11,8,0,6,2,,8,8,,12,9,,24031,Metro,1.0,Metro,PPS,331,331,381.0,365.0,-77.198908,39.097729
210016,ADVENTIST HEALTHCARE WHITE OAK MEDICAL CENTER,11890 HEALING WAY,SILVER SPRING,MD,20904,MONTGOMERY,(240) 637-4000,Acute Care Hospitals,Voluntary non-profit - Private,Yes,Y,Y,3,,7,7,0,7,0,,8,7,1,6,0,,11,9,0,6,3,,8,8,,12,9,,24031,Metro,1.0,Metro,PPS,298,298,196.0,174.0,-80.677078,35.094419
140208,ADVOCATE CHRIST HOSPITAL & MEDICAL CENTER,4440 W 95TH STREET,OAK LAWN,IL,60453,COOK,(708) 684-8000,Acute Care Hospitals,Voluntary non-profit - Church,Yes,Y,Y,2,,7,7,2,5,0,,8,8,2,4,2,,11,11,0,9,2,,8,8,,12,10,,17031,Metro,1.0,Metro,PPS,695,695,711.0,702.0,-87.732664,41.720923
